Name,Industry,Ticker,Total,Governance,Social,Environment,Date
Hochtief,Construction & Building Materials,HOCFF US Equity,71.8,61.0,87.1,66.9,Sep-19
HSBC Holdings PLC,Banks,HBCYF US Equity,60.4,54.1,55.6,83.3,Sep-19
Hugo Boss,Luxury and Sporting Goods,HUGSF US Equity,66.2,62.8,73.3,58.3,Sep-19
IAG,Transportation,BABWF US Equity,61.2,64.7,67.5,51.7,Sep-19
Iberdrola,Utilities,IBDSF US Equity,69.0,64.5,74.6,68.2,Sep-19
IBM,Software & IT Services,IBM US Equity,69.8,64.9,76.7,65.0,Sep-19
Icade,Real Estate,CDMGF US Equity,79.5,67.6,90.6,84.5,Sep-19
IGT,Hotels Restaurants & Leisure,IGT US Equity,76.6,67.2,88.7,75.0,Sep-19
Iliad,Telecom Services,ILIAF US Equity,56.1,57.7,61.3,42.9,Sep-19
IMI,Capital Goods,IMIAF US Equity,57.7,64.0,51.9,56.5,Sep-19
Immofinanz,Real Estate,IMMZF US Equity,53.2,52.1,62.5,47.7,Sep-19
Imperial Brands,Tobacco,IMBBF US Equity,66.1,59.8,78.3,45.0,Sep-19
Inditex,Non Food Retail,IDEXF US Equity,69.9,57.6,70.8,82.2,Sep-19
Indra,Software & IT Services,ISMAF US Equity,63.6,67.0,59.6,65.0,Sep-19
Infineon Technologies,Technology Hardware,IFNNF US Equity,68.6,58.5,87.3,57.5,Sep-19
Informa,Media,IFPJF US Equity,59.2,61.7,48.2,80.8,Sep-19
ING Group,Banks,INGVF US Equity,73.7,60.8,82.2,93.3,Sep-19
Inmarsat,Telecom Services,IMASF US Equity,52.8,61.4,61.7,21.4,Sep-19
Innogy,Utilities,IGY GR Equity,63.0,56.4,74.8,58.2,Sep-19
Intercontinental Hotels,Hotels Restaurants & Leisure,ICHGF US Equity,69.7,66.6,74.4,66.7,Sep-19
International Flavors & Fragrances,Chemicals,IFF US Equity,77.9,69.5,79.0,85.0,Sep-19
Intertek,Commercial Services & Supplies,IKTSF US Equity,69.5,71.0,68.2,68.8,Sep-19
Intesa Sanpaolo,Banks,IITSF US Equity,66.8,43.9,83.0,99.7,Sep-19
Ipsen,Pharmaceuticals & Biotechnology,IPSEF US Equity,51.7,48.2,45.3,82.5,Sep-19
Ipsos,Media,IPSOF US Equity,62.0,58.2,68.0,60.0,Sep-19
Isbank,Banks,TYIBF US Equity,59.8,41.2,75.0,83.3,Sep-19
Italgas,Utilities,IG IM Equity,67.1,56.1,83.4,61.1,Sep-19
ITV plc,Media,ITVPF US Equity,79.3,66.8,85.7,85.0,Sep-19
J Sainsbury,Food Retailing,JSNSF US Equity,66.1,66.7,62.2,72.2,Sep-19
JCDecaux,Media,JCDXF US Equity,71.0,55.7,69.4,100.0,Sep-19
Johnson & Johnson,Pharmaceuticals & Biotechnology,JNJ US Equity,69.5,61.2,75.1,85.0,Sep-19
JPMorgan Chase & Co.,Banks,JPM US Equity,74.7,67.4,74.4,93.3,Sep-19
JSW,Metals & Mining,JSW PW Equity,51.8,37.7,65.0,57.3,Sep-19
Julius Baer Group,Banks,JBARF US Equity,66.2,53.9,83.0,74.5,Sep-19
K+S,Chemicals,KPLUF US Equity,52.8,64.6,62.3,29.5,Sep-19
KBC,Banks,KBCSF US Equity,75.0,64.2,76.7,99.7,Sep-19
Kering,Luxury and Sporting Goods,PPRUF US Equity,67.2,52.8,82.8,62.5,Sep-19
Kingfisher,Non Food Retail,KGFHF US Equity,71.8,60.2,60.3,100.0,Sep-19
Kion Group,Capital Goods,KNNGF US Equity,58.7,64.5,59.5,47.5,Sep-19
Klépierre,Real Estate,KLPEF US Equity,77.6,66.8,90.6,80.0,Sep-19
Kone,Capital Goods,KNYJF US Equity,59.5,53.9,57.3,70.0,Sep-19
Korian,Health Care Equipment & Services,KRMDF US Equity,50.7,46.4,50.0,66.3,Sep-19
KPN,Telecom Services,KKPNF US Equity,82.1,66.1,84.3,100.0,Sep-19
LafargeHolcim,Construction & Building Materials,HCMLF US Equity,79.0,71.8,79.1,87.5,Sep-19
Lagardère,Media,LGDDF US Equity,71.4,65.8,69.5,85.0,Sep-19
Lanxess,Chemicals,LNXSF US Equity,63.3,60.4,87.2,37.5,Sep-19
Legrand,Capital Goods,LGRVF US Equity,63.7,65.4,69.2,54.0,Sep-19
Leonardo SpA,Aerospace & Defence,FINMF US Equity,67.2,50.5,71.0,88.9,Sep-19
Liberty Global,Telecom Services,LBTYA US Equity,66.5,58.9,60.5,93.3,Sep-19
Linde plc,Chemicals,LIN US Equity,74.5,66.5,99.6,50.0,Sep-19
Lloyds Banking Group,Banks,LLDTF US Equity,64.8,56.9,63.3,86.7,Sep-19
L'Oréal,Household & Personal Care,LRLCF US Equity,62.7,52.9,68.8,67.8,Sep-19
Lundin Petroleum,Oil & Gas,LNDNF US Equity,76.4,64.4,78.6,85.7,Sep-19
LVMH,Luxury and Sporting Goods,LVMHF US Equity,65.6,57.8,78.6,54.2,Sep-19
M6,Media,MSXTF US Equity,62.7,55.7,59.6,81.7,Sep-19
Maisons du Monde,Non Food Retail,MDOUF US Equity,65.0,58.6,61.7,76.7,Sep-19
Marks & Spencer,Non Food Retail,MAKSF US Equity,68.5,67.7,67.3,71.1,Sep-19
Mbank S.A.,Banks,BREJF US Equity,48.4,42.2,60.2,46.3,Sep-19
Mediaset Espana,Media,GETVF US Equity,68.4,52.7,74.6,80.0,Sep-19
Meggitt,Aerospace & Defence,MEGGF US Equity,58.0,62.7,64.7,43.3,Sep-19
Melia Hotels International,Hotels Restaurants & Leisure,SMIZF US Equity,73.3,62.3,86.1,75.0,Sep-19
Mercialys,Real Estate,MEIYF US Equity,73.9,61.4,84.4,80.0,Sep-19
Merck and Co Inc.,Pharmaceuticals & Biotechnology,MRK US Equity,68.6,62.9,70.5,84.5,Sep-19
Merck KGaA,Pharmaceuticals & Biotechnology,MKGAF US Equity,74.7,62.7,87.3,85.0,Sep-19
Metro AG,Food Retailing,MTTWF US Equity,64.0,64.5,59.1,72.2,Sep-19
Metro Bank,Banks,MBNKF US Equity,50.7,46.9,68.6,33.3,Sep-19
Molson Coors,Beverages,TAP US Equity,63.2,52.8,90.0,36.1,Sep-19
Moncler,Luxury and Sporting Goods,MONRF US Equity,59.1,58.0,77.1,25.0,Sep-19
Morgan Stanley,Banks,MS US Equity,73.3,63.5,76.7,93.0,Sep-19
MTU,Aerospace & Defence,MTUAF US Equity,70.5,70.5,69.0,72.2,Sep-19
Munich RE,Insurance,MURGF US Equity,77.9,67.0,78.3,99.6,Sep-19
National Grid,Utilities,NGGTF US Equity,65.3,65.6,67.8,62.7,Sep-19
Natixis,Banks,NTXFF US Equity,76.3,65.9,82.2,93.3,Sep-19
Naturgy,Utilities,GASNF US Equity,76.8,53.0,95.8,82.2,Sep-19
Neopost,Commercial Services & Supplies,NPACF US Equity,52.0,66.2,48.1,40.6,Sep-19
Neste,Oil & Gas,NTOIF US Equity,71.7,66.2,62.8,82.1,Sep-19
Nestlé SA,Food,NSRGF US Equity,76.9,62.7,73.1,92.9,Sep-19
Netflix,Internet,NFLX US Equity,42.4,44.9,43.0,38.9,Sep-19
Nexans,Capital Goods,NXPRF US Equity,68.7,71.1,80.6,50.0,Sep-19
Nexity,Real Estate,NXYAF US Equity,67.3,58.3,84.4,64.5,Sep-19
Next,Non Food Retail,NXGPF US Equity,63.5,60.9,55.7,76.7,Sep-19
NMC Health,Health Care Equipment & Services,NMMCF US Equity,52.5,54.5,43.8,63.8,Sep-19
Nokia,Technology Hardware,NKASF US Equity,75.3,56.1,86.4,81.3,Sep-19
Nordea,Banks,NBNKF US Equity,63.4,55.6,76.7,63.0,Sep-19
Norilsk Nickel,Metals & Mining,NILSF US Equity,58.5,52.9,78.2,46.9,Sep-19
Norma Group,Capital Goods,NOEJF US Equity,56.4,69.3,59.6,34.0,Sep-19
Novartis AG,Pharmaceuticals & Biotechnology,NVSEF US Equity,71.3,62.4,78.7,84.5,Sep-19
Novo Nordisk,Pharmaceuticals & Biotechnology,NONOF US Equity,72.8,69.0,71.9,90.0,Sep-19
Novolipetsk Steel,Metals & Mining,NLMK RM Equity,65.6,55.9,90.0,55.1,Sep-19
Ocado,Food Retailing,OCDGF US Equity,58.0,63.3,62.0,47.8,Sep-19
Oerlikon,Capital Goods,USXHF US Equity,38.3,50.0,46.2,11.5,Sep-19
OMV,Oil & Gas,OMVJF US Equity,73.2,60.4,83.6,76.9,Sep-19
OneSavings Bank,Banks,OSVBF US Equity,61.0,60.4,66.7,50.0,Sep-19
Oracle,Software & IT Services,ORCL US Equity,66.8,55.8,76.4,70.0,Sep-19
Orange,Telecom Services,FNCTF US Equity,69.6,57.3,71.7,82.9,Sep-19
Orpea,Health Care Equipment & Services,ORPEF US Equity,56.1,51.7,56.3,70.0,Sep-19
Osram Licht,Capital Goods,OSAGF US Equity,84.2,74.5,90.2,90.0,Sep-19
OTP Group,Banks,OTPBF US Equity,53.3,50.4,65.8,41.7,Sep-19
Paragon,Banks,PGGCF US Equity,55.2,53.0,60.8,50.0,Sep-19
Pearson,Media,PSORF US Equity,76.0,61.6,75.9,100.0,Sep-19
Pernod Ricard,Beverages,PDRDF US Equity,70.0,56.4,91.9,53.3,Sep-19
Petrofac,Oil & Gas,POFCF US Equity,72.3,60.9,79.1,79.2,Sep-19
Pfizer,Pharmaceuticals & Biotechnology,PFE US Equity,60.4,60.3,55.2,75.0,Sep-19
PGNIG,Oil & Gas,POGWF US Equity,48.9,50.9,45.9,49.3,Sep-19
PGS,Oil & Gas,PGEJF US Equity,72.3,63.7,93.8,66.7,Sep-19
Philips,Health Care Equipment & Services,RYLPF US Equity,68.2,62.9,62.5,99.5,Sep-19
PKN Orlen,Oil & Gas,PSKOF US Equity,56.1,55.0,50.6,60.7,Sep-19
PKO Bank Polski,Banks,PSZKF US Equity,54.5,45.5,63.9,63.0,Sep-19
Polska Grupa Energetyczna,Utilities,PPOEF US Equity,49.7,45.5,63.8,40.6,Sep-19
Porsche SE,Automobiles & Components,POAHF US Equity,53.2,40.6,60.4,61.3,Sep-19
PPG Industries,Chemicals,PPG US Equity,61.4,55.9,67.2,60.0,Sep-19
Prosiebensat1 Media,Media,PBSFF US Equity,68.6,57.7,73.2,75.8,Sep-19
Proximus,Telecom Services,BGAOF US Equity,74.4,58.5,73.1,100.0,Sep-19
Prudential,Insurance,PUKPF US Equity,71.3,60.6,74.0,90.3,Sep-19
PSA Group,Automobiles & Components,PEUGF US Equity,79.0,71.1,91.7,71.9,Sep-19
Publicis Groupe,Media,PGPEF US Equity,65.0,52.8,61.6,93.3,Sep-19
Puma,Luxury and Sporting Goods,PMMAF US Equity,59.1,60.3,75.8,28.6,Sep-19
Raiffeisen Bank International,Banks,RAIFF US Equity,75.6,61.6,83.0,99.7,Sep-19
Reckitt Benckiser,Household & Personal Care,RBGPF US Equity,63.7,60.1,60.2,73.3,Sep-19
Red Electrica,Utilities,RDEIF US Equity,66.0,64.7,80.0,54.5,Sep-19
Redes Energeticas Nacionais,Utilities,RENZF US Equity,58.0,50.8,75.0,49.1,Sep-19
Relx PLC,Media,RLXXF US Equity,78.2,69.2,75.4,100.0,Sep-19
Rémy Cointreau,Beverages,REMYF US Equity,57.8,51.3,61.4,60.0,Sep-19
Renault,Automobiles & Components,RNSDF US Equity,72.3,68.7,70.0,81.3,Sep-19
Repsol,Oil & Gas,REPYF US Equity,83.5,62.9,96.4,92.6,Sep-19
Rexel,Capital Goods,RXLSF US Equity,63.3,56.6,69.2,76.7,Sep-19
Rheinmetall,Capital Goods,RNMBF US Equity,54.6,53.2,68.0,41.7,Sep-19
Richemont,Luxury and Sporting Goods,CFRHF US Equity,76.2,62.2,83.3,87.5,Sep-19
Rio Tinto,Metals & Mining,RTPPF US Equity,63.6,68.5,63.6,58.9,Sep-19
